,,thin,thick,nn2,genhalf,ex64,ev2li
j-10-10-r-10-5,57,0.17640379071235657,0.1996796429157257,0.4909692704677582,0.32434743642807007,0.695995569229126,0.26032137870788574
j-10-10-r-10-5,58,0.02579887956380844,0.28573867678642273,0.16298413276672363,0.36453777551651,0.711260199546814,0.08552728593349457
j-10-10-r-10-5,59,0.023539600893855095,0.21779751777648926,0.3092193305492401,0.33805549144744873,0.6737416982650757,0.1026659607887268
j-10-10-r-10-5,60,0.12219470739364624,0.1442205309867859,0.2611291706562042,0.3327995538711548,0.6174460053443909,0.14355425536632538
j-10-10-r-10-5,61,0.040063612163066864,0.07022789865732193,0.31590431928634644,0.26053816080093384,0.6525030136108398,0.21904774010181427
j-10-10-r-10-5,62,0.09392175078392029,0.045060932636260986,0.5413088202476501,0.38576772809028625,0.6890189051628113,0.28569096326828003
j-10-10-r-10-5,63,0.0831940695643425,0.05639434978365898,0.6599481105804443,0.3144943416118622,0.7607457637786865,0.3171873986721039
j-10-10-r-10-5,64,0.160221129655838,0.11715137213468552,0.18449090421199799,0.3511001467704773,0.7540265321731567,0.09303256869316101
j-10-10-r-10-5,65,0.018897663801908493,0.058808356523513794,0.3067413568496704,0.35815533995628357,0.8193533420562744,0.15398834645748138
j-10-10-r-10-5,66,0.1413109004497528,0.09189014136791229,0.39573609828948975,0.3001023530960083,0.6549113392829895,0.195342019200325
j-10-10-r-10-5,67,0.10059835761785507,0.24593116343021393,0.2678499221801758,0.3036215305328369,0.6729714870452881,0.11125661432743073
j-10-10-r-10-5,68,0.10181421041488647,0.1428125500679016,0.4747706353664398,0.3698268532752991,0.7123578786849976,0.15883375704288483
j-10-10-r-10-5,69,0.22582830488681793,0.19999352097511292,0.444367915391922,0.31864413619041443,0.8119194507598877,0.22949738800525665
j-10-10-r-10-5,70,0.0746133103966713,0.14379402995109558,0.2044704258441925,0.3179281949996948,0.7088289260864258,0.09820123761892319
j-10-10-r-10-5,71,0.10704615712165833,0.15871375799179077,0.5420492887496948,0.3482874035835266,0.581733226776123,0.27569055557250977
j-10-10-r-10-5,72,0.061172254383563995,0.2627885937690735,0.560857355594635,0.3269730806350708,0.6254279613494873,0.2937258780002594
j-10-10-r-10-5,73,0.03977847471833229,0.156751349568367,0.222855806350708,0.30496132373809814,0.7484466433525085,0.036924734711647034
j-10-10-r-10-5,74,0.12595365941524506,0.047593191266059875,0.41296714544296265,0.36332079768180847,0.6929537057876587,0.18379373848438263
j-10-10-r-10-5,75,0.029215116053819656,0.15040428936481476,0.22734487056732178,0.39869940280914307,0.8258594274520874,0.05689728632569313
j-10-10-r-10-5,76,0.14290942251682281,0.1984008550643921,0.2895694077014923,0.28387996554374695,0.7617663145065308,0.1365666389465332
j-10-10-r-10-5,77,0.06851319223642349,0.15490223467350006,0.5017976760864258,0.4280890226364136,0.6250404715538025,0.265217125415802
j-10-10-r-10-5,78,0.14447493851184845,0.22572018206119537,0.22245806455612183,0.3664267957210541,0.7859736084938049,0.14170770347118378
j-10-10-r-10-5,79,0.11110108345746994,0.06412634253501892,0.4059954285621643,0.34457099437713623,0.7398419976234436,0.23794855177402496
j-10-10-r-10-5,80,0.13025911152362823,0.2398209571838379,0.04921968653798103,0.33143332600593567,0.6291489601135254,0.023300211876630783
j-10-10-r-10-5,81,0.022114397957921028,0.356164813041687,0.2619905471801758,0.45144400000572205,0.7970461845397949,0.1473459005355835
j-10-10-r-10-5,82,0.07719495892524719,0.25333693623542786,0.21468830108642578,0.3821173310279846,0.6290488243103027,0.08125845342874527
j-10-10-r-10-5,83,0.0571657158434391,0.08740656077861786,0.32513701915740967,0.3465915322303772,0.8295524716377258,0.1296558678150177
j-10-10-r-10-5,84,0.14068353176116943,0.1532832831144333,0.3225671052932739,0.31311553716659546,0.7265104055404663,0.20050916075706482
j-10-10-r-10-5,85,0.11421611905097961,0.07888875156641006,0.39208051562309265,0.4267820715904236,0.7050547003746033,0.19772213697433472
j-10-10-r-10-5,86,0.08765894174575806,0.21293145418167114,0.33992329239845276,0.31369465589523315,0.6734943389892578,0.19584795832633972
j-10-10-r-10-5,87,0.08335258811712265,0.23964500427246094,0.3236483037471771,0.4844745397567749,0.7067021727561951,0.18127880990505219
j-10-10-r-10-5,88,0.005821596831083298,0.2862350344657898,0.03373101353645325,0.38056862354278564,0.7179602384567261,0.01674707420170307
j-10-10-r-10-5,89,0.09351175278425217,0.12594406306743622,0.1490405946969986,0.2322898805141449,0.7565310001373291,0.06142819672822952
j-10-10-r-10-5,90,0.02197638899087906,0.0852142870426178,0.23866939544677734,0.3778804540634155,0.8302220702171326,0.02819921262562275
j-10-10-r-10-5,91,0.1901533305644989,0.1366717368364334,0.16624552011489868,0.39436396956443787,0.7025172114372253,0.08557233214378357
j-10-10-r-10-5,92,0.1148129403591156,0.2557485103607178,0.5129982233047485,0.3493015766143799,0.8067525625228882,0.30632638931274414
j-10-10-r-10-5,93,0.06410232186317444,0.22909048199653625,0.11510797590017319,0.3132307827472687,0.7014557123184204,0.04470701515674591
j-10-10-r-10-5,94,0.035201288759708405,0.013599079102277756,0.1975477933883667,0.3875541687011719,0.8087676763534546,0.056055761873722076
j-10-10-r-10-5,95,0.047521352767944336,0.15142220258712769,0.06697449833154678,0.20006316900253296,0.7805008888244629,0.05143602937459946
j-10-10-r-10-5,96,0.007893617264926434,0.19791026413440704,0.3665381371974945,0.386984646320343,0.6956811547279358,0.11374206840991974
j-10-10-r-10-5,97,0.08583816140890121,0.1074838638305664,0.6633270382881165,0.3339226543903351,0.7931562662124634,0.37747469544410706
j-10-10-r-10-5,98,0.10913373529911041,0.3693912625312805,0.49146807193756104,0.34175562858581543,0.6213166117668152,0.14444096386432648
j-10-10-r-10-5,99,0.14105255901813507,0.03788479417562485,0.48169639706611633,0.36524680256843567,0.6264001727104187,0.27788469195365906
